# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_ncdm[2]        17:(.)p_ncdm[2]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       7.725197468684e+13       1.067354056592e-25       5.056790541857e-09       1.527873414989e+22       1.379901141108e+04       1.786234134080e-10       1.066000880232e+18       2.919184792629e-09       9.799804908440e+43       1.140833184958e+33       6.272530659022e+33       2.254981465767e+43       7.516604885890e+42       2.254981465767e+43       7.516604885890e+42       2.254981465767e+43       7.516604885890e+42       3.449631827055e-08       6.779222415815e+43       2.334397172230e+44       2.334397172230e+44       7.781323907185e+43      -6.155895938919e+52       4.412971597996e-06       3.874501663685e+00 
       7.671496989756e+13       1.082349313733e-25       5.091351340525e-09       1.506705706518e+22       1.379901141108e+04       1.798737773019e-10       1.058590745017e+18       2.939619086178e-09       9.530145863146e+43       1.117207220661e+33       6.142630348128e+33       2.192931643868e+43       7.309772146226e+42       2.192931643868e+43       7.309772146226e+42       2.192931643868e+43       7.309772146226e+42       3.449631827055e-08       6.592680065068e+43       2.270162086054e+44       2.270162086054e+44       7.567206953272e+43      -5.944891284778e+52       4.532241100644e-06       3.772541093588e+00 
       7.618169801148e+13       1.097555239242e-25       5.127731128596e-09       1.485831263103e+22       1.379901141108e+04       1.811328937430e-10       1.051232120175e+18       2.960196419781e-09       9.267906965640e+43       1.094070535774e+33       6.015420193997e+33       2.132589233074e+43       7.108630776915e+42       2.132589233074e+43       7.108630776915e+42       2.132589233074e+43       7.108630776915e+42       3.449631827055e-08       6.411270758568e+43       2.207694542414e+44       2.207694542414e+44       7.358981807810e+43      -5.741119203199e+52       4.651510603293e-06       3.675809270675e+00 
       7.565213307992e+13       1.112974792798e-25       5.162291927263e-09       1.465246021744e+22       1.379901141108e+04       1.824008239992e-10       1.043924647642e+18       2.980917794719e-09       9.012884037370e+43       1.071412997619e+33       5.890844485110e+33       2.073907250936e+43       6.913024169787e+42       2.073907250936e+43       6.913024169787e+42       2.073907250936e+43       6.913024169787e+42       3.449631827055e-08       6.234853251482e+43       2.146945904236e+44       2.146945904236e+44       7.156486347220e+43      -5.544331784459e+52       4.770780105941e-06       3.583914038909e+00 
       7.512624933457e+13       1.128610975662e-25       5.198671715334e-09       1.444945975731e+22       1.379901141108e+04       1.836776297672e-10       1.036667971839e+18       3.001784219282e-09       8.764878518120e+43       1.049224683356e+33       5.768848663704e+33       2.016840007808e+43       6.722800026028e+42       2.016840007808e+43       6.722800026028e+42       2.016840007808e+43       6.722800026028e+42       3.449631827055e-08       6.063290185579e+43       2.087868872781e+44       2.087868872781e+44       6.959562909041e+43      -5.354289616392e+52       4.890049608589e-06       3.496501501374e+00 
       7.460402118627e+13       1.144466831259e-25       5.235051503405e-09       1.424927173865e+22       1.379901141108e+04       1.849633731756e-10       1.029461739661e+18       3.022796708817e-09       8.523697311413e+43       1.027495875643e+33       5.649379301870e+33       1.961343071278e+43       6.537810237593e+42       1.961343071278e+43       6.537810237593e+42       1.961343071278e+43       6.537810237593e+42       3.449631827055e-08       5.896447982284e+43       2.030417450820e+44       2.030417450820e+44       6.768058169177e+43      -5.170761493128e+52       5.009319111238e-06       3.413251465627e+00 
       7.408542322370e+13       1.160545445771e-25       5.271431291476e-09       1.405185719690e+22       1.379901141108e+04       1.862581167878e-10       1.022305600458e+18       3.043956285778e-09       8.289152634162e+43       1.006217058377e+33       5.532384078162e+33       1.907373231568e+43       6.357910771894e+42       1.907373231568e+43       6.357910771894e+42       1.907373231568e+43       6.357910771894e+42       3.449631827055e-08       5.734196738674e+43       1.974546906819e+44       1.974546906819e+44       6.581823022514e+43      -4.993524133801e+52       5.128588613886e-06       3.333873524566e+00 
       7.357043021222e+13       1.176849948739e-25       5.309630068950e-09       1.385717770729e+22       1.379901141108e+04       1.875619236053e-10       1.015199206016e+18       3.065263979779e-09       8.061061870468e+43       9.853789125286e+32       5.417811754676e+33       1.854888467897e+43       6.182961559656e+42       1.854888467897e+43       6.182961559656e+42       1.854888467897e+43       6.182961559656e+42       3.449631827055e-08       5.576410126336e+43       1.920213740113e+44       1.920213740113e+44       6.400712466831e+43      -4.822361910908e+52       5.247858116535e-06       3.258103671735e+00 
       7.305901709257e+13       1.193383513669e-25       5.346009857021e-09       1.366519537743e+22       1.379901141108e+04       1.888748570706e-10       1.008142210542e+18       3.086720827637e-09       7.839247429430e+43       9.649723120599e+32       5.305612154617e+33       1.803847915758e+43       6.012826385860e+42       1.803847915758e+43       6.012826385860e+42       1.803847915758e+43       6.012826385860e+42       3.449631827055e-08       5.422965293007e+43       1.867375647034e+44       1.867375647034e+44       6.224585489904e+43      -4.657066587977e+52       5.367127619183e-06       3.185701367919e+00 
       7.255115897971e+13       1.210149358652e-25       5.384208634496e-09       1.347587283991e+22       1.379901141108e+04       1.901969810701e-10       1.001134270648e+18       3.108327873430e-09       7.623536606879e+43       9.449883199274e+32       5.195736140320e+33       1.754211835105e+43       5.847372783684e+42       1.754211835105e+43       5.847372783684e+42       1.754211835105e+43       5.847372783684e+42       3.449631827055e-08       5.273742766922e+43       1.815991487973e+44       1.815991487973e+44       6.053304959705e+43      -4.497437066221e+52       5.486397121831e-06       3.116446990355e+00 
